first_name,last_name,address,city,province,postal,phone1,email
Ivette,Dills,7585 Calle De Industrias,Reserve Mines,NS,B1E 1G6,902-244-5318,idills@cox.net
Devon,Delacerda,250 University Ave #9,Comox,BC,V9M 1T4,250-525-4631,devon@hotmail.com
Lon,Tibbles,78 Eastway Dr,Mississauga,ON,L5E 1B7,905-233-1845,lon.tibbles@cox.net
Tennie,Santanna,196 Waterman Ave #1,Trois-Rivieres,QC,G8T 6A2,819-261-5496,tennie@aol.com
Fidelia,Vilven,9 Meridian St,Scarborough,ON,M1G 1V4,416-892-4321,fvilven@vilven.org
Michal,Gunyan,9514 Mount Vernon Ave,Quebec,QC,G2B 4L7,418-399-6819,michal_gunyan@gunyan.com
Enola,Yandow,7 Sw 5th Ave,Dartmouth,NS,B2W 6G3,902-539-1621,eyandow@cox.net
Meghann,Mamudoski,7675 N Solano Dr,Hebbville,NS,B4V 7A2,902-348-8759,meghann@cox.net
Latanya,Mattia,8229 S Washington Ave,Portage la Prairie,MB,R1N 3T4,204-649-9481,lmattia@yahoo.com
Chandra,Firlik,686 S Dupont Hwy,Oshawa,ON,L1J 8H1,905-451-3719,chandra@gmail.com
Barney,Dewer,88 Norris Ave #2,Bedford,NS,B4A 3V5,902-287-1148,bdewer@gmail.com
Ocie,Chreene,72 W Hampden Ave,Orleans,ON,K1E 2C8,613-756-9548,ocie.chreene@aol.com
Precious,Dubray,846 Middletown Blvd #427,Orillia,ON,L3V 4N5,705-607-6992,precious.dubray@dubray.com
Sanda,Laramie,5181 N Alma School Rd,Dawson Creek,BC,V1G 1Y2,250-700-8923,slaramie@laramie.org
Gaynell,Benavente,71 W Indian School Rd,Thunder Bay,ON,P7E 2H1,807-284-2501,gaynell@hotmail.com
Bethanie,Cutsforth,5 Victory Ave,Cambridge,ON,N1S 2S8,519-328-4250,bethanie_cutsforth@cutsforth.org
Yvette,Capiga,33 Broadway St #8539,Big Valley,AB,T0J 0G0,403-919-6456,yvette.capiga@yahoo.com
Alana,Blackmon,96 Hook Rd,Scarborough,ON,M1B 2S5,416-386-8947,ablackmon@gmail.com
Lakeesha,Beachel,1 Sw 72nd Ave,Chilliwack,BC,V2P 4W3,604-352-7502,lakeesha_beachel@aol.com
Ailene,Friedman,479 Commerce Park,Enterprise,NB,E7G 1M2,506-907-7068,ailene@yahoo.com
Valene,Madson,42 Main St,Alma,QC,G8B 7M5,418-646-3844,valene@madson.org
Floyd,Bub,4701 N Cocoa Blvd,Toronto,ON,M4V 2Z2,416-557-9767,fbub@bub.com
Josue,Hatherly,755 135th St,Etobicoke,ON,M9W 1M9,416-337-2239,jhatherly@hatherly.org
Johnathon,Wadden,4714 S Main St,Peterborough,ON,K9J 3N7,705-646-2781,johnathon_wadden@hotmail.com
Kenneth,Drizin,2 Scott Blvd,Amos,QC,J9T 1S3,819-999-6396,kdrizin@aol.com
Leila,Titzer,9 Constitution Ave,Calgary,AB,T2X 2M9,403-733-8035,leila_titzer@aol.com
Marquetta,Quinlisk,2965 Lake Lizzie Dr,Mont-Royal,QC,H3R 1G3,514-950-3156,marquetta_quinlisk@aol.com
Annamae,Beliles,8939 Merrill Field Dr,Burnaby,BC,V5G 4J9,604-877-2244,abeliles@gmail.com
An,Dosal,8 Leoole St #3,Drummondville,QC,J2B 3J9,819-324-8832,adosal@hotmail.com
Karina,Cortesi,901 Broughton Ave #7,Saint-Bruno,QC,J3V 5S1,450-252-9611,karina_cortesi@hotmail.com
Otis,Luong,263 L St #1255,Simcoe,ON,N3Y 2P6,519-739-4515,oluong@gmail.com
Brendan,Kasperek,84 L St #98,Coquitlam,BC,V3E 2W1,604-947-9315,brendan_kasperek@yahoo.com
Keith,Evartt,973 El Camino Real,Derby Junction,NB,E1V 5B4,506-229-5393,kevartt@evartt.com
Paulina,Arand,5652 Wisconsin Ave,Winnipeg,MB,R2J 2V1,204-636-8766,paulina_arand@cox.net
Cherelle,Welschmeyer,2 Ramona Ave #6,Guelph,ON,N1E 5N9,519-322-9933,cherelle@hotmail.com
Percy,Neelon,901 Highway 74,Rimouski,QC,G5L 1N6,418-537-1430,percy_neelon@cox.net
Margot,Storrs,237 S French Ave,Woodbridge,ON,L4H 2L8,905-309-5010,mstorrs@cox.net
Paris,Bellis,89 Parade St,Woodstock,ON,N4S 3K1,519-909-5933,paris@gmail.com
Sina,Masiejczyk,3067 W Wabansia Ave,Etobicoke,ON,M9C 5B4,416-369-7013,smasiejczyk@cox.net
Kimi,Selfe,2 W Kellogg Dr #5,Jonquiere,QC,G8A 1H7,418-795-3880,kimi@cox.net
Chun,Richrdson,3 Aiea Heights #660,Regina,SK,S4T 3L1,306-245-2534,chun_richrdson@richrdson.org
Lelia,Thiemann,440 Town Center Dr,Kamloops,BC,V2B 7W6,250-671-3851,lelia.thiemann@yahoo.com
Cordell,Zinda,91 Argyle Rd,Sherbrooke,QC,J1H 6E3,819-508-6057,cordell_zinda@cox.net
Dorothy,Aitken,4 Hanover Pike,Mississauga,ON,L5V 1E5,905-554-3838,dorothy.aitken@cox.net
Chauncey,Mcelreath,615 Main St #3722,Vanier,ON,K1L 7E2,613-908-7090,chauncey.mcelreath@yahoo.com
Tenesha,Stropko,648 Waihona St #1152,Cardigan,NB,E6B 1L7,506-629-6209,tenesha.stropko@aol.com
Anjelica,Lovero,689 S Steele St #1887,Amherst,NS,B4H 1K5,902-386-1443,anjelica@lovero.org
Olga,Adessa,8507 Upland St,Burlington,ON,L7P 4T1,905-775-6413,oadessa@cox.net
Monte,Tindal,577 Page Ave,Laval,QC,H7M 5P7,450-637-6499,monte@cox.net
Pamela,Mccoskey,6 West St #2,Terrebonne,QC,J6W 4W3,450-282-1236,pamela.mccoskey@gmail.com
Toshia,Lippoldt,7 Duluth St,Stoneham-Et-Tewkesbury,QC,G3C 0S2,418-759-7863,toshia_lippoldt@aol.com
Polly,Sandusky,39 Logan Ave #9518,Hamilton,ON,L9A 4H9,905-705-6018,polly.sandusky@cox.net
Judy,Boerboom,384 N Main St,Paradise,NL,A1L 0H4,709-560-7848,jboerboom@boerboom.com
Celestine,Pritt,79 E 92nd St,Ottawa,ON,K1G 3B6,613-875-3120,celestine_pritt@cox.net
Murray,Fode,59 W Century Rd,Pointe-Claire,QC,H9R 5N9,514-921-5562,mfode@yahoo.com
Shoshana,Courter,8763 N Front St,Windsor,ON,N8Y 4T9,519-396-2906,shoshana@courter.org
Glendora,Pezley,2 80e E #7867,Edmonton,AB,T5Y 3J7,780-508-2609,glendora.pezley@cox.net
Carlene,Kana,541 N 88th Ave,Brantford,ON,N3T 2H4,519-930-5055,ckana@kana.com
Adria,Gilliam,60 15th Ave,Hamilton,ON,L8N 2V6,905-563-9396,adria_gilliam@cox.net
Paola,Perkins,3951 Seaway Dr,Grande Prairie,AB,T8V 4G4,780-573-8903,paola.perkins@aol.com
Elina,Maury,2097 N Stonestreet Ave,North York,ON,M6M 3B1,416-582-4379,elina.maury@hotmail.com
Emile,Dorio,264 Jefferson Hwy #83,Saint-Bruno,QC,J3V 4R8,450-529-3773,edorio@cox.net
Zoila,Lannigan,40 N Dean St,York,ON,M6N 3Z2,416-322-9207,zlannigan@aol.com
Yong,Yestramski,365 Zebra Pl,Brantford,ON,N3R 3C6,519-344-3979,yong_yestramski@aol.com
Leontine,Stalma,859 Franquette Ave,Simcoe,ON,N3Y 5H1,519-641-7145,lstalma@stalma.org
Troy,Dicus,58 Calle Arroyo,Trenton,ON,K8V 3Z2,613-938-7999,troy_dicus@yahoo.com
Annamaria,Vanhuss,8348 1st Ave W,Dundas,ON,L9H 2C3,905-495-3301,annamaria.vanhuss@cox.net
Dorothea,Lowther,2763 Fort Campbell Blvd #7554,Sudbury,ON,P3E 2W9,705-793-4986,dorothea_lowther@yahoo.com
Marion,Letran,5670 Leonis Blvd,Gatineau,QC,J8Y 5Z4,819-966-7240,marion_letran@cox.net
Avery,Masso,6 Central Ave #664,Amherst,NS,B4H 1N1,902-588-8947,avery.masso@hotmail.com
Trinidad,Bredernitz,75 N Washington Ave,Lasalle,QC,H8N 1S9,514-561-2312,trinidad@yahoo.com
Herminia,Penso,880 W South Water Market,Fort McMurray,AB,T9H 3A8,780-740-5294,hpenso@cox.net
Val,Bigaud,42 N 16th St #620,Montreal,QC,H2C 3A1,514-726-2573,val_bigaud@aol.com
Renay,Oviedo,873 E Cumberland St,North York,ON,M6B 3Y3,416-336-6767,renay.oviedo@oviedo.com
Buck,Kotow,863 Mcgilchrist St Se,Thunder Bay,ON,P7E 2H1,807-668-2676,buck_kotow@aol.com
Toi,Rollison,2 S Church St,Terrebonne,QC,J6W 1M9,450-714-2875,toi_rollison@rollison.com
Shanice,Pennel,31 N Canal St,Kingston,ON,K7L 2Y7,613-850-3405,shanice.pennel@pennel.org
Oliva,Ramerez,8688 Manning Blvd #547,Calgary,AB,T2C 1W4,403-690-1059,oramerez@yahoo.com
Tamera,Crocker,652 Pacific Hwy,Edmonton,AB,T5C 3M1,780-833-7024,tcrocker@cox.net
Melvin,Rather,8794 34th Ave,Drummondville,QC,J2B 3S8,819-418-3496,melvin.rather@aol.com
Essie,Fitzke,9 3rd St,Welshpool,NB,E5E 1G8,506-785-2719,essie_fitzke@fitzke.org
Shay,Knieper,571 Maiden Ln #7,Brossard,QC,J4X 1J9,450-806-3050,shay.knieper@gmail.com
Ruby,Sensibaugh,637 Wright Rd,Coquitlam,BC,V3K 2P4,604-553-2468,ruby@sensibaugh.com
Caren,Doscher,1770 Mission Ave,Calgary,AB,T3H 2S3,403-344-3614,cdoscher@doscher.org
Frank,Amend,2583 Lincoln Blvd,Cambridge,ON,N1S 1A7,519-823-9369,frank@yahoo.com
Lasandra,Frisinger,1 Highway 71 S,Abbotsford,BC,V2S 2G5,604-210-7413,lfrisinger@cox.net
Sommer,Frere,1309 Pitney Rd,Saint-Hubert,QC,J3Y 4R3,450-777-9643,sfrere@yahoo.com
Gretchen,Mckeon,809 W Bayshore Rd,Trail,BC,V1R 4Y2,250-617-7197,gretchen.mckeon@gmail.com
Providencia,Marien,83 Magnavox Way,Ottawa,ON,K2C 2V1,613-256-5226,providencia.marien@marien.com
Lindsey,Arnoldi,87 Via Contenta,West Kelowna,BC,V1Z 2J2,250-387-4636,larnoldi@arnoldi.com
Romana,Riesgraf,986 Whitaker Way,Moncton,NB,E1A 6P3,506-310-3728,romana_riesgraf@hotmail.com
Nobuko,Logwood,612 York St,Sarnia,ON,N7V 3X4,519-739-4745,nobuko.logwood@cox.net
Shawnna,Arredondo,4 N Brand Blvd,Orleans,ON,K4A 0V9,613-996-1062,sarredondo@arredondo.com
Doyle,Hathcox,48 Market St,Prince George,BC,V2M 1K4,250-227-4140,doyle.hathcox@aol.com
Jacinta,Deppen,1458 W Henry St,Nelson,BC,V1L 1A7,250-203-5054,jdeppen@cox.net
Tawanna,Kuamoo,380 Main St,Matane,QC,G4W 3G6,418-734-9693,tawanna_kuamoo@gmail.com
Christa,Cloutier,743 Wolfert Ave,Calgary,AB,T2L 2G4,403-461-2407,ccloutier@hotmail.com
Noe,Kotz,3878 Little John Way,Salt Spring Island,BC,V8K 2T5,250-901-1245,nkotz@kotz.org
Ellen,Fajen,32 Marguerite Pky,Edmonton,AB,T6A 0L9,780-720-7927,ellen.fajen@aol.com
Tequila,Pelletier,6173 Landmeier Rd,Richmond Hill,ON,L4C 9T5,905-692-6934,tequila_pelletier@cox.net
Tawny,Bonventre,5 Middletown Blvd,Richmond,BC,V6Y 1L9,604-632-4346,tbonventre@aol.com
Rosalyn,Mcspedon,449 Oakwood Ave,Kingston,ON,K7K 3L3,613-362-7798,rosalyn.mcspedon@mcspedon.org
Noble,Miyata,7059 E Kilbourn Ave #252,Tillsonburg,ON,N4G 4Y4,519-346-6651,noble_miyata@gmail.com
Lucille,Hubbell,8 General Dr,Nanaimo,BC,V9R 4Z4,250-904-7361,lhubbell@yahoo.com
Azzie,Tuazon,5518 Whippany Rd,Oakville,ON,L6L 6V2,905-208-4039,azzie.tuazon@hotmail.com
Darci,Arau,2 Hill Rd,Trois-Rivieres,QC,G8Z 3J2,819-294-4679,darci@cox.net
King,Suman,79 Lexington Ave #83,Chicoutimi,QC,G7J 4W9,418-470-4541,king@cox.net
Denny,Zeanah,339 W 1st St,Montreal,QC,H2Z 1P5,514-224-2722,denny_zeanah@zeanah.com
Anissa,Frayer,7635 Run Subdivision,Surrey,BC,V3X 2L5,604-925-4225,afrayer@frayer.com
Rosann,Heinricher,91 Nw 52nd Ave,Mirabel,QC,J7N 2E1,450-474-6397,rosann_heinricher@heinricher.com
Jeannine,Rippy,7767 W Central Ave #2,Truro,NS,B2N 6J6,902-811-1450,jeannine_rippy@rippy.com
Lashaun,Casteneda,894 Feather River Blvd,Edmonton,AB,T6L 4W9,780-751-5370,lashaun.casteneda@casteneda.com
Miesha,Walen,2 Executive Blvd,Espanola,ON,P5E 1C1,705-646-4992,miesha@aol.com
Marva,Kountz,1 N Main St #16,Etobicoke,ON,M9A 0A5,416-494-3939,marva@gmail.com
Dion,Lamastus,44 S Highland Dr,Albanel,QC,G8M 3P2,418-212-6756,dion_lamastus@lamastus.com
Hassie,Sarkin,958 Airline Dr,Valley,NS,B6L 2X2,902-210-1513,hassie_sarkin@aol.com
Jin,Perry,18 Cameron St,Etobicoke,ON,M9C 2W4,416-463-6411,jin_perry@gmail.com
Demetra,Peth,79 E Jackson St,Sherbrooke,QC,J1K 1C5,819-858-7901,demetra_peth@aol.com
Irene,Benauides,45 19th St,Lyttleton,NB,E9E 1Y1,506-251-3150,irene.benauides@gmail.com
Colton,Pesqueira,305 Industrial Blvd,Oakville,ON,L6H 6M8,905-796-8265,cpesqueira@hotmail.com
William,Cilento,1434 Ash St,Trochu,AB,T0M 2C0,403-251-6126,william.cilento@gmail.com
Shannan,Cupit,6 S San Marcos Rd,North York,ON,M2N 2B8,416-266-5891,shannan@cox.net
Shelba,Kast,56 Washington Rd,Halifax,NS,B3K 2C1,902-654-7334,shelba.kast@yahoo.com
Dorcas,Diebold,8899 E Slauson Ave,Mississauga,ON,L5M 4A7,905-860-8703,dorcas_diebold@diebold.com
Rochell,Wetherby,142 E 57th Ave #2,Amqui,QC,G5J 1E2,418-362-9768,rwetherby@wetherby.org
Amber,Windell,41 Augusta Hwy,Richmond,BC,V6X 3S2,604-864-2113,amber.windell@cox.net
Stefanie,Prinkey,985 Joyce St,Surrey,BC,V3R 4T5,604-833-9067,stefanie_prinkey@prinkey.org
Kenia,Sharples,611 Grand Ave,Calgary,AB,T2J 1Y3,403-341-7208,kenia_sharples@hotmail.com
Jacquline,Libbey,647 S Rainbow Blvd Bldg #4577,Cap-aux-Meules,QC,G4T 1M6,418-682-7368,jacquline@cox.net
Lavina,Michelet,2719 N Delaware St,Anjou,QC,H1M 1X5,514-842-3549,lavina.michelet@michelet.org
Billi,Kazar,71 Linden Ave,Surrey,BC,V3W 9G2,604-458-2387,bkazar@hotmail.com
Aron,Leuthold,9 Park St,Chilliwack,BC,V2P 3X4,604-637-3549,aron_leuthold@leuthold.com
Annice,Tartar,430 State Route 10 #7548,Sherbrooke,QC,J1N 0H6,819-342-1651,atartar@cox.net
Hyun,Zarazua,8718 N 13th Ave,Chatham,ON,N7L 5C4,519-287-4120,hyun_zarazua@cox.net
Shala,Ogle,4956 Midway Rd #65,Fatima,QC,G4T 2N4,418-823-9061,shala_ogle@ogle.org
Shasta,Canonico,71 West Ave,Sault Ste. Marie,ON,P6C 2C8,705-531-2796,shasta_canonico@aol.com
Wenona,Braseth,7 Ramon Rd,Beloeil,QC,J3G 2C1,450-751-1928,wenona.braseth@braseth.org
Marla,Gallati,922 Railroad Ave #7063,Lachine,QC,H8R 1R7,514-872-9323,mgallati@gmail.com
Myra,Palenik,5661 Harding St,Montmagny,QC,G5V 1N6,418-930-7475,myra_palenik@palenik.com
Lawanda,Jacocks,92 A Glenneyre Ave,Cranbrook,BC,V1C 4E3,250-226-8113,lawanda.jacocks@gmail.com
Curt,Kohlman,5 Westbranch Dr #36,Saskatoon,SK,S7M 3S3,306-739-3437,ckohlman@hotmail.com
Susy,Finstad,6 N Town East Blvd,Calgary,AB,T2X 0J3,403-571-8756,sfinstad@aol.com
Kathrine,Kaper,100 Rombouts Ave,Halifax,NS,B3N 2X2,902-500-1564,kkaper@aol.com
Oneida,Pospishil,5 E King St #6,Victoriaville,QC,G6T 1N5,819-511-9240,opospishil@aol.com
Allene,Perera,7167 Bethlehem Pike #80,Etobicoke,ON,M9P 1J9,416-681-6822,allene@yahoo.com
Leonardo,Leahman,80 Wisconsin Ave,Calgary,AB,T2L 1X5,403-328-5056,leonardo@aol.com
Nakisha,Russi,8265 W Camelback Rd,Lethbridge,AB,T1H 6T3,403-513-9660,nakisha_russi@russi.com
Stephanie,Rolling,45 S Cedar Ridge Dr,Lloydminster,SK,S9V 1T4,306-510-5011,srolling@rolling.org
Florinda,Haycock,6096 N Michigan Ave,Gatineau,QC,J8P 4L6,819-820-6568,florinda_haycock@cox.net
Merri,Geberth,4 Beaverbrook Rd,Winnipeg,MB,R2P 2J7,204-894-9221,merri.geberth@geberth.com
Malcom,Vereen,548 Midland Ave,Windsor,ON,N8T 1V1,519-334-1058,malcom.vereen@yahoo.com
Louvenia,Abney,6 Friendship Dr #5055,Prince Albert,SK,S6V 6A4,306-256-9309,louvenia_abney@hotmail.com
Alita,Borlace,5 S Gage St #6175,Kenora,ON,P9N 1K7,807-289-5397,alita_borlace@yahoo.com
Noemi,Ill,18 Nw 6th St,Sault Ste. Marie,ON,P6B 2W6,705-414-4712,noemi_ill@ill.com
Nydia,Ancar,5 Pittsford Victor Rd,Edmonton,AB,T5V 1M7,780-924-8022,nydia.ancar@ancar.com
Hana,Meisel,6 E Rand Rd #73,Calgary,AB,T2J 1G9,403-696-7108,hana.meisel@yahoo.com
Noel,Marrazzo,91 E Cary St,Camrose,AB,T4V 2Y4,780-447-2249,noel@cox.net
Brice,Rowe,5 New Circle Rd Ne,Belleville,ON,K8N 1R9,613-631-9322,brice_rowe@aol.com
Nguyet,Kitchens,68 Nw Raleigh St #88,Red Deer,AB,T4N 2H5,403-883-4097,nguyet_kitchens@yahoo.com
Janae,Mair,8 S Mcmullen Dr #38,Ajax,ON,L1T 1R5,905-501-5086,janae_mair@cox.net
Darrel,Makley,6 N Volusia Ave #2,Baie-Sainte-Anne,NB,E9A 1P1,506-839-5378,dmakley@yahoo.com
Genevieve,Milionis,5 Cedar St,Sault Ste. Marie,ON,P6B 5Y9,705-467-4142,genevieve.milionis@hotmail.com
Giovanna,Bacho,71 S Newtown St,North Vancouver,BC,V7M 3J6,604-203-8085,giovanna@cox.net
Shelton,Spannuth,4 Bloomfield Ave #5,Brandon,MB,R7B 1N3,204-364-5889,shelton.spannuth@yahoo.com
Alison,Mahlum,841 N Monroe St,Belleville,ON,K8N 2W3,613-862-3122,alison_mahlum@hotmail.com
Maynard,Zufall,5094 Poway Rd,Vancouver,BC,V5X 4K1,604-875-7745,mzufall@gmail.com
Timothy,Bussert,43 Winnetka Ave,Toronto,ON,M4C 3Y1,416-521-5624,timothy@bussert.com
Viola,Eddens,51 S Hulen St,Grand Manan,NB,E5G 3A8,506-772-3108,veddens@eddens.org
Luann,Michon,5 Goddard Rd,Montreal,QC,H2S 2G9,514-578-7262,luann@cox.net
Mable,Goerke,7 Woodbridge Ave,Toronto,ON,M6P 2V5,416-867-5879,mable_goerke@cox.net
Sabine,Kaea,48 Lower Ragsdale Dr #1349,Brampton,ON,L6W 1A8,905-586-1138,sabine@gmail.com
Dolores,Moltz,80 S Beckley St,Fredericton,NB,E3B 2P9,506-216-2028,dolores@yahoo.com
Hannah,Suero,3314 Hawthorne St,Oakville,ON,L6L 3G9,905-543-3967,hsuero@yahoo.com
Sonia,Blan,924 W Saint Mary Blvd,Deer Lake,NL,A8A 2A6,709-512-6346,sblan@blan.com
Cletus,Stapels,9713 Wilbur Ave #163,Edmonton,AB,T6P 1K3,780-674-7330,cletus_stapels@cox.net
Asha,Zoldak,4 Gray Ave,Saint-Stanislas,QC,G8L 7B6,418-470-9730,asha_zoldak@hotmail.com
Verlene,Billow,8528 A Park Rd,Brampton,ON,L6P 0X3,905-486-5455,vbillow@billow.com
Yesenia,Giglio,1262 W 19th St,Janeville,NB,E2A 5K7,506-858-9797,yesenia@cox.net
Tayna,Sine,99 Garfield Ave #370,Burlington,ON,L7R 3Y8,905-334-8817,tayna_sine@sine.com
Verona,Jobst,9041 Grand Plaza Plac,Montreal,QC,H3V 1E3,514-842-7487,verona_jobst@jobst.org
Denae,Eggers,475 S Figueroa St,Winnipeg,MB,R2K 3B5,204-341-2445,denae_eggers@gmail.com
Rikki,Montalgo,7 Lagrange St #10,Montreal,QC,H2K 3M3,514-472-6857,rikki@montalgo.com
Nan,Weekly,16 Ridge Center,London,ON,N5Y 5M9,519-928-8049,nan@weekly.com
Sherell,Despain,66 62nd St #30,Surrey,BC,V3R 6N7,604-344-4458,sdespain@hotmail.com
Coral,Brennick,15 Ludlow Ave #156,Boucherville,QC,J4B 1R5,450-480-7421,coral.brennick@brennick.com
Phyliss,Huelse,672 Neil Armstrong St #59,Lethbridge,AB,T1K 2L9,403-540-2604,phyliss_huelse@aol.com
Jesse,Wida,1 E Gabilan St,Burlington,ON,L7T 3Y9,905-356-4735,jesse@wida.com
Latonia,Helander,6325 Statesville Rd,Brampton,ON,L6V 4R8,905-723-5674,latonia@helander.com
Aimee,Clozza,7 N Wacker Dr #42,Ottawa,ON,K1K 0K4,613-804-8102,aimee_clozza@clozza.org
Marcelle,Staie,76 N Harlem Ave,Stoney Creek,ON,L8E 4S4,905-817-1934,marcelle_staie@aol.com
Ilda,Schuring,80 Ringwood Ave #7,St. Albert,AB,T8N 1L5,780-830-2958,ilda_schuring@schuring.com
Aileen,Klukken,8 Wilfong Ln,North York,ON,M2N 2T3,416-390-4510,aklukken@klukken.com
Davida,Zeng,8881 Hopkins St,Sainte-Sophie,QC,J5J 2B5,450-375-8192,davida_zeng@yahoo.com
Beata,Rubarts,19 Torresdale Ave #58,Victoria,BC,V8X 1R2,250-808-6765,beata_rubarts@aol.com
Angelyn,Wieand,79 Craig Rd,Brampton,ON,L6X 0E3,905-838-3914,angelyn_wieand@wieand.com
Claudio,Hummell,432 Eastman Ave,Calgary,AB,T3L 2H1,403-481-8843,claudio_hummell@hotmail.com
Krystal,Twyman,9 Garcia Ave #38,Scarborough,ON,M1C 1N8,416-712-8230,ktwyman@gmail.com
Adela,Echegoyen,128 W Kellogg Dr,Burnaby,BC,V5B 4L5,604-571-8392,adela.echegoyen@echegoyen.org
Ryan,Phibbs,7827 Commercial St Se #37,Regina,SK,S4V 3B8,306-621-2626,rphibbs@gmail.com
Edmond,Buettner,67 N Washington Ave #960,Saint-Eustache,QC,J7P 1A5,450-829-7834,edmond_buettner@buettner.org
Catina,Emmert,19 Distribution Way,Thunder Bay,ON,P7C 4H3,807-652-2563,catina@gmail.com
Milly,Pattengale,20 Fort Campbell Blvd #4792,Wetaskiwin,AB,T9A 3K1,780-799-6418,milly@hotmail.com
Jules,Erichsen,1 Parkfair Dr #1219,Mississauga,ON,L5C 1L3,905-929-8054,jules@cox.net
Denna,Miklitz,1736 Us Highway 19n N #6,Saint-Jean-sur-Richelieu,QC,J3B 0C5,450-409-1005,dmiklitz@yahoo.com
Willetta,Cesa,578 E Us Highway 36 #3,Membertou,NS,B1S 2P3,902-981-7382,willetta_cesa@gmail.com
Johna,Magathan,1724 W Dodge Rd,Edmonton,AB,T6K 4E5,780-994-6272,jmagathan@magathan.org
Ollie,Oliverson,1 W 8th,Etobicoke,ON,M9W 3W4,416-762-4001,ooliverson@cox.net
Sherly,Vitrano,8 Cochise Trl,Sydney,NS,B1P 1C1,902-480-3185,svitrano@hotmail.com
Kindra,Dishong,4 Sutton Ln,Nepean,ON,K2E 6A5,613-510-3295,kdishong@gmail.com
Vanda,Tentler,7 Shetland Ct,Kimberley,BC,V1A 2M7,250-605-3501,vanda_tentler@tentler.org
Marshall,Fitgerald,526 Main St,Calgary,AB,T2M 4H2,403-918-5509,marshall_fitgerald@cox.net
Kelvin,Hasha,18 Duluth St,Edmonton,AB,T5M 4A7,780-227-7373,khasha@hotmail.com
Darrin,Mathiasen,35 Peconic Ave #4,Boucherville,QC,J4B 3Y4,450-536-7426,dmathiasen@hotmail.com
Susana,Mccarley,7 S Quebec,Windsor,ON,N9E 2G5,519-491-9261,susana_mccarley@gmail.com
Wilson,Nickelson,74 Se 3rd Ave #1494,North York,ON,M2J 3W5,416-376-7867,wilson_nickelson@aol.com
Malissa,Talty,3 Bush St,Saint John,NB,E2M 2N5,506-724-2777,malissa@talty.org
Tandra,Castillanos,629 105th Ave,Hamilton,ON,L9C 3G2,905-715-9339,tcastillanos@castillanos.com
Lorean,Sammon,58 Executive Dr,Regina,SK,S4S 3Y3,306-854-5060,lorean@yahoo.com
Desirae,Oien,200 W Bijou St #6013,Calgary,AB,T2C 0Z5,403-405-2804,desirae.oien@hotmail.com
Delsie,Cerao,2 Us Highway 206,English Settlement,NB,E6B 2J9,506-795-5209,delsie.cerao@cerao.org
Mabel,Elmquist,8570 E 8th St,Winnipeg,MB,R2K 0Y2,204-285-3978,mabel_elmquist@elmquist.com
Marnie,Purslow,3068 N Interstate 35,Winnipeg,MB,R2V 3G6,204-904-1386,marnie.purslow@purslow.com
Rene,Granier,4241 Tapp St,Calgary,AB,T3Z 1H1,403-438-9257,rene@cox.net
Trevor,Harnist,99 Hart St,Dartmouth,NS,B2Y 1G7,902-782-2576,trevor.harnist@hotmail.com
Sharmaine,Batdorf,1822 Guilford Rd,Saint-Basile,NB,E7C 2L8,506-839-1630,sharmaine_batdorf@batdorf.com
Ricki,Traux,995 Concord Rd,Montreal,QC,H3J 1S4,514-657-1920,ricki.traux@traux.com
Bernadine,Shufelt,3 Main St,Sudbury,ON,P3C 2X6,705-693-2982,bernadine_shufelt@shufelt.org
Shad,Reider,7995 Douglas Rd E #6,Lloydminster,AB,T9V 2M7,780-953-3852,shad_reider@aol.com
Kenneth,Degennaro,965 Bryant St,St Martins,NB,E5R 1G5,506-763-6456,kenneth.degennaro@aol.com
Marleen,Hennon,2863 Brooklyn Terminal Mkt,Abbotsford,BC,V2S 4M2,604-545-3662,marleen_hennon@aol.com
Joaquin,Geitner,6410 E State Hwy,Calgary,AB,T2K 4M8,403-640-8755,joaquin_geitner@cox.net
Slyvia,Stockham,4895 Country Club Rd,Quebec,QC,G1K 5J8,418-913-7998,slyvia.stockham@aol.com
Kris,Bala,43 Gateway Blvd,Brampton,ON,L7A 2E8,905-848-5458,kris_bala@gmail.com
Gussie,Diflorio,881 South St #4,Trenton,ON,K8V 1G7,613-857-7922,gussie_diflorio@cox.net
Lavelle,Lillywhite,5 S Taylor Ave,La Malbaie,QC,G5A 2R8,418-442-4179,lavelle.lillywhite@hotmail.com
Bev,Dermo,6059 Alewa Dr,Surrey,BC,V3X 1X5,604-880-6351,bev.dermo@dermo.com
Bette,Digiovanni,345 Broadway St,London,ON,N6K 4J9,519-882-6434,bette.digiovanni@digiovanni.org
Lajuana,Mccloud,7 W Pine St,Saint-Thomas,QC,J0K 3L0,450-272-6370,lajuana_mccloud@hotmail.com
Shakira,Westervelt,5470 N Lamar Blvd #542,North Vancouver,BC,V7J 2J9,604-991-8721,swestervelt@westervelt.org
Matt,Nickolich,103 E Main St #59,Regina,SK,S4S 5Y2,306-891-2346,matt@gmail.com
Clemencia,Momplaisir,698 N Allen Rd,Montreal,QC,H3J 2N8,514-804-3533,cmomplaisir@yahoo.com
Oliva,Ambert,1 Broadway St,Dawson Settlement,NB,E4H 2B6,506-672-7328,oambert@gmail.com
